N,P,K,temperature,humidity,ph,rainfall,Soil_OC,label
90.0,42.0,43.0,20.87974371,82.00274423,6.502985292000001,202.9355362,1.2496714153011232,rice
85.0,58.0,41.0,21.77046169,80.31964408,7.038096361,226.6555374,1.1361735698828814,rice
60.0,55.0,44.0,23.00445915,82.3207629,7.840207144,263.9642476,0.9647688538100692,rice
74.0,35.0,40.0,26.49109635,80.15836264,6.980400905,242.8640342,1.1923029856408025,rice
78.0,42.0,42.0,20.13017482,81.60487287,7.628472891,262.7173405,1.0565846625276665,rice
69.0,37.0,42.0,23.05804872,83.37011772,7.073453503,251.0549998,0.966586304305082,rice
69.0,55.0,38.0,22.70883798,82.63941394,5.70080568,271.3248604,1.1479212815507391,rice
94.0,53.0,40.0,20.27774362,82.89408619,5.718627177999999,241.9741949,1.3167434729152907,rice
89.0,54.0,38.0,24.51588066,83.53521629999999,6.685346424,230.4462359,1.1430525614065048,rice
68.0,58.0,38.0,23.22397386,83.03322691,6.336253525,221.2091958,1.0342560043585964,rice
91.0,53.0,40.0,26.52723513,81.41753846,5.386167788,264.6148697,1.1636582307187535,rice
90.0,46.0,42.0,23.97898217,81.45061596,7.50283396,250.0832336,1.1534270246429743,rice
78.0,58.0,44.0,26.80079604,80.88684822,5.108681786,284.4364567,1.1041962271566037,rice
93.0,56.0,36.0,24.01497622,82.05687182,6.98435366,185.2773389,1.0386719755342202,rice
94.0,50.0,37.0,25.66585205,80.66385045,6.94801983,209.5869708,1.067508216748697,rice
60.0,48.0,39.0,24.28209415,80.30025587,7.042299068999999,231.0863347,0.8437712470759027,rice
85.0,38.0,41.0,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,1.0487168879665576,rice
91.0,35.0,39.0,23.79391957,80.41817957,6.970859754,206.2611855,1.2414247332595274,rice
77.0,38.0,36.0,21.8652524,80.1923008,5.953933276,224.55501690000003,0.9791975924478789,rice
88.0,35.0,40.0,23.57943626,83.58760316,5.85393208,291.2986618000001,1.0387696298664708,rice
89.0,45.0,36.0,21.32504158,80.47476396,6.442475375,185.4974732,1.3365648768921554,rice
76.0,40.0,43.0,25.15745531,83.11713476,5.070175667,231.3843163,1.0374223699513463,rice
67.0,59.0,41.0,21.94766735,80.97384195,6.012632591,213.3560921,0.9767528204687924,rice
83.0,41.0,43.0,21.0525355,82.67839517,6.254028451,233.1075816,0.9875251813786544,rice
98.0,47.0,37.0,23.48381344,81.33265073,7.375482851,224.0581164,1.2255617275474815,rice
66.0,53.0,41.0,25.0756354,80.52389148,7.778915154,257.0038865,0.9710922589709866,rice
97.0,59.0,43.0,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,1.1549006422577697,rice
97.0,50.0,41.0,24.52922681,80.54498576,7.070959995,260.2634026,1.3075698018345672,rice
60.0,49.0,44.0,20.77576147,84.49774397,6.244841491,240.0810647,0.8399361310081195,rice
84.0,51.0,35.0,22.30157427,80.64416466,6.043304899,197.9791215,1.1108306250206723,rice
73.0,57.0,41.0,21.44653958,84.94375962,5.824709117,272.2017204,0.9698293387770602,rice
92.0,35.0,40.0,22.17931888,80.33127223,6.3573893660000005,200.0882787,1.4052278184508935,rice
85.0,37.0,39.0,24.52783742,82.73685569,6.364134967999999,224.67572310000003,1.1486502775262066,rice
98.0,53.0,38.0,20.26707606,81.63895217,5.01450727,270.4417274,1.17422890710441,rice
88.0,54.0,44.0,25.7354293,83.88266234,6.149410611,233.1321372,1.2622544912103189,rice
95.0,55.0,42.0,26.79533926,82.1480873,5.950660556,193.3473987,1.1279156350028976,rice
99.0,57.0,35.0,26.75754171,81.17734011,5.960370061,272.29990560000005,1.3108863595004756,rice
95.0,39.0,36.0,23.86330467,83.15250801,5.561398642,285.2493645,1.0540329876120225,rice
60.0,43.0,44.0,21.01944696,82.95221726,7.416245107000001,298.40184710000005,0.7671813951101569,rice
